参数类别,符号,取值/区间,来源与备注
产废率-施工垃圾(住宅),WGRc,31-37 kg/m²（住宅37/商业34/公共35/工业31）,"王玉国等. 建筑垃圾产量预测与时空特征研究：以南京江北新区为例. 环境工程, 2020, 38(3)（基于SJG 21-2011深圳规范修正）；Wu et al. 2014 Waste Management 综述"
产废率-拆除垃圾,WGRd,砖混1120–1280 kg/m²；钢混800–1000 kg/m²,同上（南京浦口区拆迁管理中心等调研修正）
产废率-装修垃圾,WGRr,5 kg/m²（基准值）；中国实践中装修垃圾体量与生活垃圾相当,WRI零碳建筑基准线 2024；UN-Habitat中国智慧减废城市案例 2024
全市隐含产废强度,—,2024: 0.78 t/m²（491.85万吨/631.89万m²）；2025: 0.40 t/m²（256.03/642.9）,由呼和浩特官方年报与统计公报推算——年际波动即供给不确定性实证
单位运输成本,TC,HK$5.25–9.25 /t·km（香港）；内地参考0.6–1.5 CNY/t·km（渣土车，假设区间）,Kang & Tan 2025 Humanit Soc Sci Commun（模糊三角数）；内地区间需在论文中声明为假设并做灵敏度分析
成本结构占比,—,运输≈60% / 运营≈32% / 固定≈2% / 绿色税≈6%（总成本口径）,Kang & Tan 2025 香港案例KPI
设施建设CAPEX,FC,4186.76万元 = 20.7万m³填埋库容+17.52万t/年处理（含分选破碎车间）,托克托县建筑垃圾消纳场工程环评公示（用户提供 2026-08-25）
网络规模先例,—,17产生点→2分拣+4中转+2资源化+3填埋（香港）；呼和浩特为9区县→8分拣+3资源化+5填埋,Kang & Tan 2025；呼和浩特2025年报表9
需求端假设,D,再生产品全量被市场消纳（政策激励下）；再生骨料价格按天然骨料60-80%假设,Kang & Tan 2025 Assumption 5（含中国市场案例）；价格假设需灵敏度分析
不确定性刻画,—,单位运输成本、产生量、再生需求为模糊/不确定参数,Kang & Tan 2023-2025（三角模糊数）；本研究升级为Wasserstein DRO
